Filename:	C:\Users\Bown_304\Desktop\Jordan\TGA\magnesium_carbonate_heavy_1@241118110522.t6d 
Operator ID:	Jordan 
Sample ID:	magnesium_carbonate_heavy_1 
Comment: 	magnesium_carbonate_heavy_1 
Serial Number:	537L14021001 
Data Collected:	11/18/2024 12:33:22 PM 
Sample Weight:	9.761 mg 
Display Weight:	9.761 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\2023-04-05-Mary.tg1c 
Date/Time:	4/5/2023 3:36:31 PM 
Initial Conditions 
Temperature:	 20.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 20.00°C to 900.00°C at 10.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	2.000000	9.737531	0.000000	40.004000	28.716000	0.000000 
	2.016667	9.737247	0.000000	40.171000	28.900000	0.000000 
	2.033333	9.737000	0.000000	40.337000	29.092000	0.000000 
	2.050000	9.736864	0.000000	40.504000	29.274000	0.000000 
	2.066667	9.736704	0.000000	40.671000	29.453000	0.000000 
	2.083333	9.736506	0.000000	40.837000	29.618000	0.000000 
	2.100000	9.736259	0.000000	41.004000	29.780000	0.000000 
	2.116667	9.736037	0.000000	41.171000	29.940000	0.000000 
	2.133333	9.735778	0.000000	41.337000	30.099000	0.000000 
	2.150000	9.735494	0.000000	41.504000	30.263000	0.000000 
	2.166667	9.735296	0.000000	41.671000	30.434000	0.000000 
	2.183333	9.735136	0.000000	41.837000	30.610000	0.000000 
	2.200000	9.734926	0.000000	42.004000	30.771000	0.000000 
	2.216667	9.734617	0.000000	42.171000	30.934000	0.000000 
	2.233333	9.734321	0.000000	42.337000	31.105000	0.000000 
	2.250000	9.734136	0.000000	42.504000	31.282000	0.000000 
	2.266667	9.734037	0.000000	42.671000	31.461000	0.000000 
	2.283333	9.733975	0.000000	42.837000	31.636000	0.000000 
	2.300000	9.733765	0.000000	43.004000	31.801000	0.000000 
	2.316667	9.733481	0.000000	43.171000	31.965000	0.000000 
	2.333333	9.733296	0.000000	43.337000	32.131000	0.000000 
	2.350000	9.733037	0.000000	43.504000	32.303000	0.000000 
	2.366667	9.732802	0.000000	43.671000	32.491000	0.000000 
	2.383333	9.732543	0.000000	43.837000	32.692000	0.000000 
	2.400000	9.732370	0.000000	44.004000	32.896000	0.000000 
	2.416667	9.732222	0.000000	44.171000	33.091000	0.000000 
	2.433333	9.732099	0.000000	44.337000	33.277000	0.000000 
	2.450000	9.731839	0.000000	44.504000	33.466000	0.000000 
	2.466667	9.731531	0.000000	44.671000	33.654000	0.000000 
	2.483333	9.731259	0.000000	44.837000	33.848000	0.000000 
	2.500000	9.731024	0.000000	45.004000	34.042000	0.000000 
	2.516667	9.730716	0.000000	45.171000	34.230000	0.000000 
	2.533333	9.730419	0.000000	45.337000	34.405000	0.000000 
	2.550000	9.730148	0.000000	45.504000	34.581000	0.000000 
	2.566667	9.729963	0.000000	45.671000	34.760000	0.000000 
	2.583333	9.729790	0.000000	45.837000	34.942000	0.000000 
	2.600000	9.729654	0.000000	46.004000	35.123000	0.000000 
	2.616667	9.729395	0.000000	46.171000	35.308000	0.000000 
	2.633333	9.729172	0.000000	46.337000	35.490000	0.000000 
	2.650000	9.729012	0.000000	46.504000	35.670000	0.000000 
	2.666667	9.728839	0.000000	46.671000	35.859000	0.000000 
	2.683333	9.728617	0.000000	46.837000	36.041000	0.000000 
	2.700000	9.728444	0.000000	47.004000	36.215000	0.000000 
	2.716667	9.728185	0.000000	47.171000	36.395000	0.000000 
	2.733333	9.727913	0.000000	47.337000	36.578000	0.000000 
	2.750000	9.727654	0.000000	47.504000	36.745000	0.000000 
	2.766667	9.727530	0.000000	47.671000	36.905000	0.000000 
	2.783333	9.727395	0.000000	47.837000	37.077000	0.000000 
	2.800000	9.727234	0.000000	48.004000	37.248000	0.000000 
	2.816667	9.727061	0.000000	48.171000	37.401000	0.000000 
	2.833333	9.726864	0.000000	48.337000	37.557000	0.000000 
	2.850000	9.726604	0.000000	48.504000	37.727000	0.000000 
	2.866667	9.726382	0.000000	48.671000	37.900000	0.000000 
	2.883333	9.726172	0.000000	48.837000	38.066000	0.000000 
	2.900000	9.726012	0.000000	49.004000	38.235000	0.000000 
	2.916667	9.725876	0.000000	49.171000	38.394000	0.000000 
	2.933333	9.725777	0.000000	49.337000	38.543000	0.000000 
	2.950000	9.725691	0.000000	49.504000	38.703000	0.000000 
	2.966667	9.725518	0.000000	49.671000	38.864000	0.000000 
	2.983333	9.725246	0.000000	49.837000	39.035000	0.000000 
	3.000000	9.725012	0.000000	50.004000	39.214000	0.000000 
	3.016667	9.724777	0.000000	50.171000	39.384000	0.000000 
	3.033333	9.724666	0.000000	50.337000	39.550000	0.000000 
	3.050000	9.724493	0.000000	50.504000	39.716000	0.000000 
	3.066667	9.724357	0.000000	50.671000	39.896000	0.000000 
	3.083333	9.724147	0.000000	50.837000	40.082000	0.000000 
	3.100000	9.723987	0.000000	51.004000	40.263000	0.000000 
	3.116667	9.723777	0.000000	51.171000	40.442000	0.000000 
	3.133333	9.723505	0.000000	51.337000	40.605000	0.000000 
	3.150000	9.723308	0.000000	51.504000	40.764000	0.000000 
	3.166667	9.723123	0.000000	51.671000	40.936000	0.000000 
	3.183333	9.722987	0.000000	51.837000	41.121000	0.000000 
	3.200000	9.722814	0.000000	52.004000	41.310000	0.000000 
	3.216667	9.722567	0.000000	52.171000	41.492000	0.000000 
	3.233333	9.722308	0.000000	52.337000	41.667000	0.000000 
	3.250000	9.722135	0.000000	52.504000	41.845000	0.000000 
	3.266667	9.721987	0.000000	52.671000	42.028000	0.000000 
	3.283333	9.721814	0.000000	52.837000	42.205000	0.000000 
	3.300000	9.721629	0.000000	53.004000	42.383000	0.000000 
	3.316667	9.721394	0.000000	53.171000	42.553000	0.000000 
	3.333333	9.721197	0.000000	53.337000	42.720000	0.000000 
	3.350000	9.720937	0.000000	53.504000	42.904000	0.000000 
	3.366667	9.720715	0.000000	53.671000	43.087000	0.000000 
	3.383333	9.720480	0.000000	53.837000	43.261000	0.000000 
	3.400000	9.720295	0.000000	54.004000	43.412000	0.000000 
	3.416667	9.720085	0.000000	54.171000	43.560000	0.000000 
	3.433333	9.719789	0.000000	54.337000	43.728000	0.000000 
	3.450000	9.719542	0.000000	54.504000	43.899000	0.000000 
	3.466667	9.719332	0.000000	54.671000	44.072000	0.000000 
	3.483333	9.719122	0.000000	54.837000	44.248000	0.000000 
	3.500000	9.718912	0.000000	55.004000	44.439000	0.000000 
	3.516667	9.718628	0.000000	55.171000	44.627000	0.000000 
	3.533333	9.718542	0.000000	55.337000	44.798000	0.000000 
	3.550000	9.718147	0.000000	55.504000	44.972000	0.000000 
	3.566667	9.717863	0.000000	55.671000	45.161000	0.000000 
	3.583333	9.717653	0.000000	55.837000	45.344000	0.000000 
	3.600000	9.717493	0.000000	56.004000	45.515000	0.000000 
	3.616667	9.717369	0.000000	56.171000	45.681000	0.000000 
	3.633333	9.717221	0.000000	56.337000	45.848000	0.000000 
	3.650000	9.717110	0.000000	56.504000	46.019000	0.000000 
	3.666667	9.716925	0.000000	56.671000	46.205000	0.000000 
	3.683333	9.716690	0.000000	56.837000	46.393000	0.000000 
	3.700000	9.716394	0.000000	57.004000	46.573000	0.000000 
	3.716667	9.716097	0.000000	57.171000	46.754000	0.000000 
	3.733333	9.715851	0.000000	57.337000	46.924000	0.000000 
	3.750000	9.715591	0.000000	57.504000	47.094000	0.000000 
	3.766667	9.715369	0.000000	57.671000	47.283000	0.000000 
	3.783333	9.715097	0.000000	57.837000	47.463000	0.000000 
	3.800000	9.714789	0.000000	58.004000	47.644000	0.000000 
	3.816667	9.714529	0.000000	58.171000	47.826000	0.000000 
	3.833333	9.714295	0.000000	58.337000	48.000000	0.000000 
	3.850000	9.714036	0.000000	58.504000	48.161000	0.000000 
	3.866667	9.713764	0.000000	58.671000	48.319000	0.000000 
	3.883333	9.713468	0.000000	58.837000	48.483000	0.000000 
	3.900000	9.713319	0.000000	59.004000	48.654000	0.000000 
	3.916667	9.713208	0.000000	59.171000	48.834000	0.000000 
	3.933333	9.712998	0.000000	59.337000	49.028000	0.000000 
	3.950000	9.712727	0.000000	59.504000	49.222000	0.000000 
	3.966667	9.712455	0.000000	59.671000	49.411000	0.000000 
	3.983333	9.712233	0.000000	59.837000	49.602000	0.000000 
	4.000000	9.711998	0.000000	60.004000	49.796000	0.000000 
	4.016667	9.711788	0.000000	60.171000	49.999000	0.000000 
	4.033333	9.711566	0.000000	60.337000	50.210000	0.000000 
	4.050000	9.711332	0.000000	60.504000	50.410000	0.000000 
	4.066667	9.711134	0.000000	60.671000	50.598000	0.000000 
	4.083333	9.710862	0.000000	60.837000	50.782000	0.000000 
	4.100000	9.710628	0.000000	61.004000	50.958000	0.000000 
	4.116667	9.710393	0.000000	61.171000	51.125000	0.000000 
	4.133333	9.710183	0.000000	61.337000	51.288000	0.000000 
	4.150000	9.710023	0.000000	61.504000	51.461000	0.000000 
	4.166667	9.709801	0.000000	61.671000	51.646000	0.000000 
	4.183333	9.709566	0.000000	61.837000	51.831000	0.000000 
	4.200000	9.709332	0.000000	62.004000	52.004000	0.000000 
	4.216667	9.709122	0.000000	62.171000	52.182000	0.000000 
	4.233333	9.708899	0.000000	62.337000	52.359000	0.000000 
	4.250000	9.708628	0.000000	62.504000	52.532000	0.000000 
	4.266667	9.708368	0.000000	62.671000	52.699000	0.000000 
	4.283333	9.708146	0.000000	62.837000	52.859000	0.000000 
	4.300000	9.707949	0.000000	63.004000	53.017000	0.000000 
	4.316667	9.707689	0.000000	63.171000	53.190000	0.000000 
	4.333333	9.707480	0.000000	63.337000	53.356000	0.000000 
	4.350000	9.707245	0.000000	63.504000	53.514000	0.000000 
	4.366667	9.707072	0.000000	63.671000	53.685000	0.000000 
	4.383333	9.706887	0.000000	63.837000	53.863000	0.000000 
	4.400000	9.706677	0.000000	64.004000	54.045000	0.000000 
	4.416667	9.706393	0.000000	64.171000	54.234000	0.000000 
	4.433333	9.706158	0.000000	64.337000	54.430000	0.000000 
	4.450000	9.705949	0.000000	64.504000	54.613000	0.000000 
	4.466667	9.705726	0.000000	64.671000	54.779000	0.000000 
	4.483333	9.705479	0.000000	64.837000	54.946000	0.000000 
	4.500000	9.705232	0.000000	65.004000	55.116000	0.000000 
	4.516667	9.705010	0.000000	65.171000	55.281000	0.000000 
	4.533333	9.704776	0.000000	65.337000	55.455000	0.000000 
	4.550000	9.704566	0.000000	65.504000	55.642000	0.000000 
	4.566667	9.704356	0.000000	65.671000	55.830000	0.000000 
	4.583333	9.704158	0.000000	65.837000	56.011000	0.000000 
	4.600000	9.703985	0.000000	66.004000	56.196000	0.000000 
	4.616667	9.703825	0.000000	66.171000	56.367000	0.000000 
	4.633333	9.703640	0.000000	66.337000	56.533000	0.000000 
	4.650000	9.703479	0.000000	66.504000	56.709000	0.000000 
	4.666667	9.703343	0.000000	66.671000	56.886000	0.000000 
	4.683333	9.703171	0.000000	66.837000	57.058000	0.000000 
	4.700000	9.702961	0.000000	67.004000	57.240000	0.000000 
	4.716667	9.702714	0.000000	67.171000	57.418000	0.000000 
	4.733333	9.702455	0.000000	67.337000	57.598000	0.000000 
	4.750000	9.702195	0.000000	67.504000	57.783000	0.000000 
	4.766667	9.701985	0.000000	67.671000	57.952000	0.000000 
	4.783333	9.701738	0.000000	67.837000	58.113000	0.000000 
	4.800000	9.701516	0.000000	68.004000	58.283000	0.000000 
	4.816667	9.701319	0.000000	68.171000	58.475000	0.000000 
	4.833333	9.701133	0.000000	68.337000	58.675000	0.000000 
	4.850000	9.701010	0.000000	68.504000	58.873000	0.000000 
	4.866667	9.700911	0.000000	68.671000	59.072000	0.000000 
	4.883333	9.700714	0.000000	68.837000	59.271000	0.000000 
	4.900000	9.700541	0.000000	69.004000	59.464000	0.000000 
	4.916667	9.700393	0.000000	69.171000	59.646000	0.000000 
	4.933333	9.700207	0.000000	69.337000	59.823000	0.000000 
	4.950000	9.699936	0.000000	69.504000	60.008000	0.000000 
	4.966667	9.699639	0.000000	69.671000	60.184000	0.000000 
	4.983333	9.699393	0.000000	69.837000	60.360000	0.000000 
	5.000000	9.699183	0.000000	70.004000	60.545000	0.000000 
	5.016667	9.699010	0.000000	70.171000	60.722000	0.000000 
	5.033333	9.698862	0.000000	70.337000	60.902000	0.000000 
	5.050000	9.698714	0.000000	70.504000	61.077000	0.000000 
	5.066667	9.698689	0.000000	70.671000	61.238000	0.000000 
	5.083333	9.698392	0.000000	70.837000	61.395000	0.000000 
	5.100000	9.698158	0.000000	71.004000	61.550000	0.000000 
	5.116667	9.697923	0.000000	71.171000	61.711000	0.000000 
	5.133333	9.697812	0.000000	71.337000	61.879000	0.000000 
	5.150000	9.697615	0.000000	71.504000	62.060000	0.000000 
	5.166667	9.697467	0.000000	71.671000	62.251000	0.000000 
	5.183333	9.697343	0.000000	71.837000	62.431000	0.000000 
	5.200000	9.697158	0.000000	72.004000	62.602000	0.000000 
	5.216667	9.697121	0.000000	72.171000	62.770000	0.000000 
	5.233333	9.696948	0.000000	72.337000	62.944000	0.000000 
	5.250000	9.696578	0.000000	72.504000	63.117000	0.000000 
	5.266667	9.696108	0.000000	72.671000	63.294000	0.000000 
	5.283333	9.695812	0.000000	72.837000	63.471000	0.000000 
	5.300000	9.695701	0.000000	73.004000	63.644000	0.000000 
	5.316667	9.695627	0.000000	73.171000	63.808000	0.000000 
	5.333333	9.695540	0.000000	73.337000	63.974000	0.000000 
	5.350000	9.695392	0.000000	73.504000	64.128000	0.000000 
	5.366667	9.695219	0.000000	73.671000	64.282000	0.000000 
	5.383333	9.695121	0.000000	73.837000	64.448000	0.000000 
	5.400000	9.694997	0.000000	74.004000	64.614000	0.000000 
	5.416667	9.694763	0.000000	74.171000	64.789000	0.000000 
	5.433333	9.694553	0.000000	74.337000	64.971000	0.000000 
	5.450000	9.694318	0.000000	74.504000	65.148000	0.000000 
	5.466667	9.694121	0.000000	74.671000	65.323000	0.000000 
	5.483333	9.694034	0.000000	74.837000	65.508000	0.000000 
	5.500000	9.693923	0.000000	75.004000	65.698000	0.000000 
	5.516667	9.693726	0.000000	75.171000	65.880000	0.000000 
	5.533333	9.693466	0.000000	75.337000	66.060000	0.000000 
	5.550000	9.693207	0.000000	75.504000	66.233000	0.000000 
	5.566667	9.692886	0.000000	75.671000	66.400000	0.000000 
	5.583333	9.692688	0.000000	75.837000	66.577000	0.000000 
	5.600000	9.692528	0.000000	76.004000	66.756000	0.000000 
	5.616667	9.692380	0.000000	76.171000	66.925000	0.000000 
	5.633333	9.692232	0.000000	76.337000	67.100000	0.000000 
	5.650000	9.692219	0.000000	76.504000	67.280000	0.000000 
	5.666667	9.692108	0.000000	76.671000	67.459000	0.000000 
	5.683333	9.691923	0.000000	76.837000	67.636000	0.000000 
	5.700000	9.691651	0.000000	77.004000	67.813000	0.000000 
	5.716667	9.691454	0.000000	77.171000	67.993000	0.000000 
	5.733333	9.691256	0.000000	77.337000	68.176000	0.000000 
	5.750000	9.691046	0.000000	77.504000	68.366000	0.000000 
	5.766667	9.690836	0.000000	77.671000	68.550000	0.000000 
	5.783333	9.690651	0.000000	77.837000	68.740000	0.000000 
	5.800000	9.690503	0.000000	78.004000	68.934000	0.000000 
	5.816667	9.690306	0.000000	78.171000	69.114000	0.000000 
	5.833333	9.690133	0.000000	78.337000	69.302000	0.000000 
	5.850000	9.690022	0.000000	78.504000	69.482000	0.000000 
	5.866667	9.689910	0.000000	78.671000	69.655000	0.000000 
	5.883333	9.689762	0.000000	78.837000	69.827000	0.000000 
	5.900000	9.689639	0.000000	79.004000	70.001000	0.000000 
	5.916667	9.689466	0.000000	79.171000	70.184000	0.000000 
	5.933333	9.689244	0.000000	79.337000	70.379000	0.000000 
	5.950000	9.689071	0.000000	79.504000	70.572000	0.000000 
	5.966667	9.688923	0.000000	79.671000	70.755000	0.000000 
	5.983333	9.688762	0.000000	79.837000	70.929000	0.000000 
	6.000000	9.688626	0.000000	80.004000	71.094000	0.000000 
	6.016667	9.688454	0.000000	80.171000	71.263000	0.000000 
	6.033333	9.688281	0.000000	80.337000	71.421000	0.000000 
	6.050000	9.688120	0.000000	80.504000	71.575000	0.000000 
	6.066667	9.687898	0.000000	80.671000	71.747000	0.000000 
	6.083333	9.687737	0.000000	80.837000	71.917000	0.000000 
	6.100000	9.687565	0.000000	81.004000	72.089000	0.000000 
	6.116667	9.687367	0.000000	81.171000	72.258000	0.000000 
	6.133333	9.687244	0.000000	81.337000	72.433000	0.000000 
	6.150000	9.687058	0.000000	81.504000	72.602000	0.000000 
	6.166667	9.686923	0.000000	81.671000	72.767000	0.000000 
	6.183333	9.686750	0.000000	81.837000	72.939000	0.000000 
	6.200000	9.686676	0.000000	82.004000	73.116000	0.000000 
	6.216667	9.686552	0.000000	82.171000	73.297000	0.000000 
	6.233333	9.686429	0.000000	82.337000	73.494000	0.000000 
	6.250000	9.686256	0.000000	82.504000	73.680000	0.000000 
	6.266667	9.686120	0.000000	82.671000	73.867000	0.000000 
	6.283333	9.685960	0.000000	82.837000	74.046000	0.000000 
	6.300000	9.685836	0.000000	83.004000	74.233000	0.000000 
	6.316667	9.685750	0.000000	83.171000	74.423000	0.000000 
	6.333333	9.685651	0.000000	83.337000	74.614000	0.000000 
	6.350000	9.685552	0.000000	83.504000	74.799000	0.000000 
	6.366667	9.685441	0.000000	83.671000	74.970000	0.000000 
	6.383333	9.685355	0.000000	83.837000	75.145000	0.000000 
	6.400000	9.685231	0.000000	84.004000	75.323000	0.000000 
