Filename:	C:\Users\Bown_304\Desktop\Jordan\TGA\silica_fume@241216130237.t6d 
Operator ID:	Jordan 
Sample ID:	silica_fume 
Comment: 	Silica fume 
Serial Number:	537L14021001 
Data Collected:	12/16/2024 2:30:38 PM 
Sample Weight:	14.705 mg 
Display Weight:	14.705 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files\PerkinElmer\Pyris\Calibrations\2023-04-05-Mary.tg1c 
Date/Time:	4/5/2023 3:36:31 PM 
Initial Conditions 
Temperature:	 20.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	5280 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 20.00°C to 900.00°C at 10.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	1.766667	14.702791	0.000000	37.671000	26.594000	0.000000 
	1.783333	14.702816	0.000000	37.837000	26.750000	0.000000 
	1.800000	14.702828	0.000000	38.004000	26.909000	0.000000 
	1.816667	14.702680	0.000000	38.171000	27.065000	0.000000 
	1.833333	14.702519	0.000000	38.337000	27.230000	0.000000 
	1.850000	14.702519	0.000000	38.504000	27.402000	0.000000 
	1.866667	14.702569	0.000000	38.671000	27.578000	0.000000 
	1.883333	14.702544	0.000000	38.837000	27.769000	0.000000 
	1.900000	14.702544	0.000000	39.004000	27.960000	0.000000 
	1.916667	14.702581	0.000000	39.171000	28.141000	0.000000 
	1.933333	14.702680	0.000000	39.337000	28.317000	0.000000 
	1.950000	14.702865	0.000000	39.504000	28.488000	0.000000 
	1.966667	14.702914	0.000000	39.671000	28.648000	0.000000 
	1.983333	14.702828	0.000000	39.837000	28.810000	0.000000 
	2.000000	14.702742	0.000000	40.004000	28.973000	0.000000 
	2.016667	14.702680	0.000000	40.171000	29.126000	0.000000 
	2.033333	14.702606	0.000000	40.337000	29.281000	0.000000 
	2.050000	14.702556	0.000000	40.504000	29.450000	0.000000 
	2.066667	14.702519	0.000000	40.671000	29.629000	0.000000 
	2.083333	14.702458	0.000000	40.837000	29.816000	0.000000 
	2.100000	14.702396	0.000000	41.004000	30.008000	0.000000 
	2.116667	14.702371	0.000000	41.171000	30.197000	0.000000 
	2.133333	14.702347	0.000000	41.337000	30.373000	0.000000 
	2.150000	14.702322	0.000000	41.504000	30.548000	0.000000 
	2.166667	14.702347	0.000000	41.671000	30.718000	0.000000 
	2.183333	14.702272	0.000000	41.837000	30.882000	0.000000 
	2.200000	14.702198	0.000000	42.004000	31.050000	0.000000 
	2.216667	14.702050	0.000000	42.171000	31.223000	0.000000 
	2.233333	14.702026	0.000000	42.337000	31.388000	0.000000 
	2.250000	14.702075	0.000000	42.504000	31.549000	0.000000 
	2.266667	14.702050	0.000000	42.671000	31.696000	0.000000 
	2.283333	14.702038	0.000000	42.837000	31.843000	0.000000 
	2.300000	14.701988	0.000000	43.004000	31.999000	0.000000 
	2.316667	14.701976	0.000000	43.171000	32.166000	0.000000 
	2.333333	14.702013	0.000000	43.337000	32.344000	0.000000 
	2.350000	14.701976	0.000000	43.504000	32.521000	0.000000 
	2.366667	14.701976	0.000000	43.671000	32.696000	0.000000 
	2.383333	14.701890	0.000000	43.837000	32.866000	0.000000 
	2.400000	14.701877	0.000000	44.004000	33.032000	0.000000 
	2.416667	14.701705	0.000000	44.171000	33.181000	0.000000 
	2.433333	14.701569	0.000000	44.337000	33.323000	0.000000 
	2.450000	14.701519	0.000000	44.504000	33.461000	0.000000 
	2.466667	14.701519	0.000000	44.671000	33.613000	0.000000 
	2.483333	14.701532	0.000000	44.837000	33.779000	0.000000 
	2.500000	14.701692	0.000000	45.004000	33.950000	0.000000 
	2.516667	14.701791	0.000000	45.171000	34.124000	0.000000 
	2.533333	14.701705	0.000000	45.337000	34.305000	0.000000 
	2.550000	14.701667	0.000000	45.504000	34.489000	0.000000 
	2.566667	14.701606	0.000000	45.671000	34.668000	0.000000 
	2.583333	14.701495	0.000000	45.837000	34.849000	0.000000 
	2.600000	14.701433	0.000000	46.004000	35.020000	0.000000 
	2.616667	14.701408	0.000000	46.171000	35.187000	0.000000 
	2.633333	14.701408	0.000000	46.337000	35.349000	0.000000 
	2.650000	14.701371	0.000000	46.504000	35.510000	0.000000 
	2.666667	14.701309	0.000000	46.671000	35.673000	0.000000 
	2.683333	14.701309	0.000000	46.837000	35.840000	0.000000 
	2.700000	14.701309	0.000000	47.004000	36.003000	0.000000 
	2.716667	14.701248	0.000000	47.171000	36.174000	0.000000 
	2.733333	14.701248	0.000000	47.337000	36.343000	0.000000 
	2.750000	14.701211	0.000000	47.504000	36.507000	0.000000 
	2.766667	14.701211	0.000000	47.671000	36.667000	0.000000 
	2.783333	14.701137	0.000000	47.837000	36.834000	0.000000 
	2.800000	14.701087	0.000000	48.004000	37.018000	0.000000 
	2.816667	14.701062	0.000000	48.171000	37.203000	0.000000 
	2.833333	14.701062	0.000000	48.337000	37.384000	0.000000 
	2.850000	14.701137	0.000000	48.504000	37.566000	0.000000 
	2.866667	14.701025	0.000000	48.671000	37.733000	0.000000 
	2.883333	14.700914	0.000000	48.837000	37.908000	0.000000 
	2.900000	14.700890	0.000000	49.004000	38.095000	0.000000 
	2.916667	14.700890	0.000000	49.171000	38.281000	0.000000 
	2.933333	14.700902	0.000000	49.337000	38.470000	0.000000 
	2.950000	14.700914	0.000000	49.504000	38.660000	0.000000 
	2.966667	14.700976	0.000000	49.671000	38.843000	0.000000 
	2.983333	14.701124	0.000000	49.837000	39.016000	0.000000 
	3.000000	14.701297	0.000000	50.004000	39.187000	0.000000 
	3.016667	14.701408	0.000000	50.171000	39.369000	0.000000 
	3.033333	14.701272	0.000000	50.337000	39.548000	0.000000 
	3.050000	14.701087	0.000000	50.504000	39.726000	0.000000 
	3.066667	14.700951	0.000000	50.671000	39.906000	0.000000 
	3.083333	14.700828	0.000000	50.837000	40.083000	0.000000 
	3.100000	14.700853	0.000000	51.004000	40.253000	0.000000 
	3.116667	14.700927	0.000000	51.171000	40.420000	0.000000 
	3.133333	14.701087	0.000000	51.337000	40.596000	0.000000 
	3.150000	14.701087	0.000000	51.504000	40.776000	0.000000 
	3.166667	14.701025	0.000000	51.671000	40.954000	0.000000 
	3.183333	14.700976	0.000000	51.837000	41.134000	0.000000 
	3.200000	14.700927	0.000000	52.004000	41.303000	0.000000 
	3.216667	14.700976	0.000000	52.171000	41.462000	0.000000 
	3.233333	14.700927	0.000000	52.337000	41.630000	0.000000 
	3.250000	14.700890	0.000000	52.504000	41.806000	0.000000 
	3.266667	14.700853	0.000000	52.671000	41.974000	0.000000 
	3.283333	14.700779	0.000000	52.837000	42.151000	0.000000 
	3.300000	14.700717	0.000000	53.004000	42.344000	0.000000 
	3.316667	14.700704	0.000000	53.171000	42.525000	0.000000 
	3.333333	14.700667	0.000000	53.337000	42.689000	0.000000 
	3.350000	14.700828	0.000000	53.504000	42.843000	0.000000 
	3.366667	14.700964	0.000000	53.671000	43.001000	0.000000 
	3.383333	14.701050	0.000000	53.837000	43.168000	0.000000 
	3.400000	14.701112	0.000000	54.004000	43.335000	0.000000 
	3.416667	14.701161	0.000000	54.171000	43.508000	0.000000 
	3.433333	14.701186	0.000000	54.337000	43.684000	0.000000 
	3.450000	14.701161	0.000000	54.504000	43.864000	0.000000 
	3.466667	14.701087	0.000000	54.671000	44.045000	0.000000 
	3.483333	14.701001	0.000000	54.837000	44.224000	0.000000 
	3.500000	14.700951	0.000000	55.004000	44.403000	0.000000 
	3.516667	14.700902	0.000000	55.171000	44.581000	0.000000 
	3.533333	14.700816	0.000000	55.337000	44.750000	0.000000 
	3.550000	14.700791	0.000000	55.504000	44.908000	0.000000 
	3.566667	14.700754	0.000000	55.671000	45.068000	0.000000 
	3.583333	14.700680	0.000000	55.837000	45.241000	0.000000 
	3.600000	14.700532	0.000000	56.004000	45.429000	0.000000 
	3.616667	14.700334	0.000000	56.171000	45.625000	0.000000 
	3.633333	14.700260	0.000000	56.337000	45.815000	0.000000 
